ジャンルID,ジャンル名,ジャンルレベル
101240,CD・DVD・楽器,1
101354,DVD,2
101355,洋画,3
101361,アクション,4
101368,ヒューマン,4
101366,ラブストーリー,4
101365,サスペンス・ミステリー,4
101363,コメディー,4
101360,ホラー,4
563971,アニメ,4
101369,SF,4
507993,ドキュメンタリー,4
101359,戦争,4
101362,西部劇,4
507985,スポーツ,4
507986,ファンタジー,4
507989,ミュージカル,4
507990,史劇,4
101358,名画・クラシック,4
507984,青春,4
507987,ギャング・マフィア,4
101951,その他,4
101370,邦画,3
101371,アクション,4
300332,ヒューマン,4
300331,ラブストーリー,4
300330,サスペンス・ミステリー,4
300334,コメディー,4
200554,ホラー,4
563972,アニメ,4
508005,SF,4
508015,ドキュメンタリー,4
300333,戦争,4
300335,時代劇,4
508008,スポーツ,4
508009,ファンタジー,4
508012,ミュージカル,4
508006,名画・クラシック,4
508007,青春,4
508010,仁侠,4
101952,その他,4
400007,アジア・韓国,3
553470,韓国,4
400014,アクション,4
400011,ヒューマン,4
400010,ラブストーリー,4
400009,サスペンス・ミステリー,4
400016,コメディー,4
400017,ホラー,4
400012,SF,4
508003,ドキュメンタリー,4
400013,戦争,4
507996,スポーツ,4
507997,ファンタジー,4
508000,ミュージカル,4
508001,史劇,4
400018,名画・クラシック,4
507995,青春,4
507998,ギャング・マフィア,4
101367,その他,4
300336,TVドラマ,3
400020,日本,4
400021,アクション,5
400024,ヒューマン,5
400025,ラブストーリー,5
400022,サスペンス・ミステリー,5
508017,コメディー,5
508018,青春,5
508019,刑事,5
508020,時代劇,5
101373,その他,5
400026,海外,4
400027,アクション,5
400030,ヒューマン,5
400031,ラブストーリー,5
400028,サスペンス・ミステリー,5
508021,コメディー,5
508022,青春,5
508023,刑事,5
101356,その他,5
553471,アジア・韓国,4
553472,韓国,5
553473,アクション,5
553474,史劇,5
553475,ヒューマン,5
553476,ラブストーリー,5
553477,サスペンス・ミステリー,5
553478,コメディー,5
508024,その他,5
304900,その他,4
400033,お笑い・バラエティー,3
400034,TV番組,4
400035,ライブ,4
400036,コント,4
400037,漫才,4
400038,落語,4
204209,その他,4
211000,スポーツ,3
508025,格闘技・武道,4
508026,キックボクシング,5
400040,プロレス,5
508027,ボクシング,5
508028,ムエタイ,5
508029,空手,5
508030,剣道,5
508031,柔術,5
508032,柔道,5
508033,大相撲,5
211002,その他,5
211004,ゴルフ,4
211005,マリンスポーツ,4
211006,サッカー,4
211007,自転車,4
211008,スキー,4
211010,スノーボード,4
211012,バスケットボール,4
211013,フィッシング,4
406288,フィットネス,4
508034,モータースポーツ,4
211014,野球,4
101380,その他,4
101374,アニメ,3
500160,オリジナルアニメ,4
500161,作品名・あ行,5
500162,作品名・か行,5
500163,作品名・さ行,5
500164,作品名・た行,5
500165,作品名・な行,5
500166,作品名・は行,5
500167,作品名・ま行,5
500168,作品名・や行,5
500169,作品名・ら行,5
500170,作品名・わ行,5
101375,その他,5
500171,キッズアニメ,4
500172,作品名・あ行,5
500173,作品名・か行,5
500174,作品名・さ行,5
500175,作品名・た行,5
500176,作品名・な行,5
500177,作品名・は行,5
500178,作品名・ま行,5
500179,作品名・や行,5
500180,作品名・ら行,5
500181,作品名・わ行,5
101376,その他,5
400041,TVアニメ,4
400042,作品名・あ行,5
400043,作品名・か行,5
400044,作品名・さ行,5
400045,作品名・た行,5
400046,作品名・な行,5
400047,作品名・は行,5
400048,作品名・ま行,5
400049,作品名・や行,5
400050,作品名・ら行,5
400051,作品名・わ行,5
400052,その他,5
508035,海外アニメ,4
508036,作品名・あ行,5
508037,作品名・か行,5
508038,作品名・さ行,5
508039,作品名・た行,5
508040,作品名・な行,5
508041,作品名・は行,5
508042,作品名・ま行,5
508043,作品名・や行,5
508044,作品名・ら行,5
508045,作品名・わ行,5
508046,その他,5
400053,劇場版,4
200555,BOX,4
101953,その他,4
505030,特撮ヒーロー,3
505031,戦隊シリーズ,4
505032,ウルトラマンシリーズ,4
505033,仮面ライダーシリーズ,4
101377,その他,4
300337,ミュージック,3
300338,邦楽,4
300339,ロック・ポップス,5
400055,ヘビーメタル・ハードロック,5
400056,インディーズ,5
400057,R&B・ディスコ,5
300340,ジャズ・ブルース,5
300341,クラシック,5
300342,オペラ,5
300343,インストゥルメンタル,5
508047,ラップ・ヒップホップ,5
508048,テクノ・リミックス・ハウス,5
508050,童謡・民謡,5
508051,演歌・歌謡曲,5
508052,カラオケ,5
300345,その他,5
300346,洋楽,4
300347,ロック・ポップス,5
400059,ヘビーメタル・ハードロック,5
400060,インディーズ,5
400061,R&B・ディスコ,5
300348,ジャズ・ブルース,5
400062,ラップ・ヒップホップ,5
400063,テクノ・リミックス・ハウス,5
400064,パンク・ハードコア,5
300349,クラシック,5
300350,オペラ,5
300351,インストゥルメンタル,5
508053,トランス・ユーロビート,5
508054,フォーク・カントリー,5
300353,その他,5
562677,韓国（K-POP）・アジア,4
562678,韓国（K-POP）・アジア,5
562679,その他,5
101378,その他,4
563988,TVドキュメンタリー,3
563989,歴史・地理,4
563990,動物・人体・自然,4
563992,宗教,4
563993,スポーツ,4
563995,宇宙・科学,4
563996,旅・紀行,4
563997,タレント,4
508077,その他,4
500182,趣味・実用・教養,3
500183,語学,4
500185,歴史・地理,4
500186,旅行,4
500187,伝統,4
500188,鉄道,4
508067,飛行機,4
508075,自動車・バイク,4
500189,料理,4
500190,美術・工芸,4
508057,ダンス,4
508058,フィットネス・ヨガ,4
508059,動物・ペット,4
508061,ファッション・メイク,4
508062,アウトドア,4
508068,BGV,4
101379,その他,4
400066,アイドル,3
400067,アイドル名・あ行,4
400068,アイドル名・か行,4
400069,アイドル名・さ行,4
400070,アイドル名・た行,4
400071,アイドル名・な行,4
400072,アイドル名・は行,4
400073,アイドル名・ま行,4
400074,アイドル名・や行,4
400075,アイドル名・ら行,4
400076,アイドル名・わ行,4
400077,シリーズ別,4
200725,その他,4
